sentence,Label_bias
"Military ships and aircraft have been deployed to coastal communities in southeastern Australia cut off by raging wildfires that have raced towards the coast, trapping thousands as the death toll from the apocalyptic blazes continues to grow.",Non-biased
The player vote ending Thursday at midnight—a simple majority vote will determine the outcome of the NFL CBA—is a monumental referendum for the next decade of the NFL.,Non-biased
"Bryce Harper, who signed the richest free-agent contract in baseball history, a cool $330 million, was being unveiled for the first time in a Phillies uniform.",Non-biased
"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. ",Non-biased
"Thousands of Australians took to the streets on Friday to protest against government inaction on climate change, as bushfires ravaged tens of thousands of square miles of bushland after months of destruction and at least 27 deaths.",Non-biased
"Hillary Clinton tells this story to struggling students. She told it to minority students in Mississippi in November 2015,  and she recently told it again to minority students in Brooklyn.",Non-biased
U.S. President Donald Trump said on Thursday he was likely to declare a national emergency to secure funds for his long-sought wall along the U.S. southern border if he cannot reach an agreement with Congress to provide the money.,Non-biased
But the announcement Monday further clarifies that YouTube will take down any election-related videos that are technically altered to mislead people in a way that goes beyond simply taking clips of speech out of context.,Non-biased
"Poll workers and technicians reported issues with the new machines at more than 40% of polling locations in Philadelphia during last November’s election, according to the records reviewed by Reuters. Problems included touchscreens that were hypersensitive or that froze; paper voting receipts getting jammed in the machines; and panels opening on some machines to expose the equipment’s electronic controls, the records show.",Non-biased
"The University of Southern California (USC) has fired two employees who allegedly accepted enormous bribes in exchange for facilitating the acceptance of dozens of students, the school has said in an official statement.",Non-biased
"In Francis, Thunberg has found a kindered spirit. The Jesuit pope has made fighting climate change and caring for God's creation a pillar of his papacy.",Non-biased
President Donald Trump on Friday announced that he has waived interest payments on all federal student loans to help alleviate financial strain as the United States combats the spread of the coronavirus.,Non-biased
"Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated, Dart told WBBM-TV.",Non-biased
"Sen. Bernie Sanders leads the Democratic field three weeks ahead of Caucus Day in Iowa – narrowly overtaking his closest competitors, who remain locked in a tight contest just behind him.",Non-biased
"The Pro Football Hall of Fame's Centennial class of 2020 is set, and among the 15 honorees selected was former NFL commissioner Paul Tagliabue, who helped lead the league to new heights during his tenure from 1989-2006.",Non-biased
"Wimbledon champion Navratilova, who has campaigned for gay rights and suffered abuse when she came out in the 1980s, argued trans women have unfair physical advantages.",Non-biased
"Tens of millions of children under 12 months are potentially at risk for diseases such as diphtheria and polio as the Chinese coronavirus pandemic interrupts routine vaccinations, according to data published by global public health experts on Friday.",Non-biased
The former administration presented itself as a protector of students against mistreatment by student loan companies that were seeking to collect debts owed and were accused of abusing student borrowers to pad their own profits,Non-biased
Athletes awoke to news that several water polo players had been injured in a terrifying accident in the early hours of Saturday morning when the second floor of a nightclub came down on the heads of revelers below.,Non-biased
"Trump said he will visit the U.S.-Mexican border Thursday to promote his plan for a wall to keep out undocumented immigrants, the sticking point in negotiations with Democrats to reopen the government.",Non-biased
"But the top risk by likelihood highlighted in the annual Global Risks Report was extreme weather, in a survey of 1,000 experts from government, business, academia and non-governmental organizations.",Non-biased
The man behind a petition drive to recall a California state senator and physician pushing for tougher vaccine requirements was charged on Wednesday with assault after livestreaming himself shoving the lawmaker in a sidewalk confrontation in Sacramento.,Non-biased
BBC Presenter Gabby Logan has said that it is not fair that transgender women can compete in sport alongside biologically female women.,Non-biased
"Rep. Alexandria Ocasio-Cortez (D-NY) has been an avid supporter of the “Green New Deal,” a plan that would take dramatic steps to curb the United States’ contribution to global climate change. ",Non-biased
"A humanitarian ship that has had about 230 rescued migrants on board for almost a week will enter a Maltese port on Wednesday, ending a standoff with Italy which refused to let the ship dock.",Non-biased
The ACLU and other groups sued last year in San Francisco federal court on behalf of 11 migrants challenging the asylum policy.,Non-biased
"Even pro-life leaders have expressed their approval of using vaccines produced with fetal cell lines, in cases with no alternative.",Non-biased
Tensions between Trump and the messaging platform escalated last week after Twitter began to label some of his tweets with a fact-check. Trump responded with an executive order that threatens to curtail some legal protections enjoyed by social media companies.,Non-biased
"Measles is so contagious that 90 percent of unvaccinated people who come in contact with an infected person will get the virus, according to the Centers for Disease Control and Prevention.",Non-biased
"Australian Prime Minister Scott Morrison defended his leadership and his government's record on climate change Sunday as milder temperatures brought hope of a respite from wildfires that have ravaged three states, claiming 24 lives and destroying almost 2,000 homes.",Non-biased
"What we learn from those places is that people who know they don’t have police protection will seek protection from whomever wields power, which is why even now you see businessowners whose stores have been looted and burned out expressing supporter for BLM and the ongoing protests.",Non-biased
"Opposition Labour Party leader Jeremy Corbyn said on Thursday he would look at ways to help those who have already incurred large debts from university tuition fees, and would not sell off student loans to private companies.",Non-biased
De Niro's Tribeca Festival Yanks Anti-Vaccination Film...,Non-biased
USA Gymnastics will join USA Swimming and USA Track & Field in asking that the U.S. Olympic and Paralympic Committee lobby for a postponement of the Tokyo Games.,Non-biased
"As Congress begins debating the Equality Act, the Heritage Foundation warns that if the bill becomes law it will prove the death knell for women’s sports.",Non-biased
"Alabama has the most restrictive abortion law in the U.S., banning abortion at any stage of pregnancy and for any reason, including in cases of rape and incest.",Non-biased
"Gov. Tate Reeves, who has worked for years to limit and end abortion in Mississippi, promised to take action against the state's lone abortion clinic if it continues to provide abortions during the coronavirus pandemic.",Non-biased
"A federal judge dismissed the United States women’s soccer team’s bid for equal pay on Friday, rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions.",Non-biased
"When a figurehead like Trump repeats the myth that vaccines cause autism, as he did during the presidential debates, many parents may choose not to vaccinate, putting children at unnecessary risk.",Non-biased
"An investigative journalist whose exposés on the deep-rooted corruption in African soccer led to the downfall of a member of the high-powered FIFA Council was shot dead Wednesday, months after a Ghana politician called for retribution against him.",Non-biased
"Americans are carrying $1.57 trillion in outstanding student loan debt, more than what they owe on their credit cards.",Non-biased
A solid majority of student loan borrowers in a recent survey said they would trade their 2020 vote for debt forgiveness.,Non-biased
ESPN announced Tuesday that it would be moving the premiere of its highly anticipated documentary about Michael Jordan's last championship season with the Chicago Bulls to April and fans who have been starved for content after professional sport teams suspended their seasons because of the coronavirus outbreak are rejoicing at the news.,Non-biased
"For the first time since the enactment of the Refugee Act in 1980, people who come to the U.S. saying they fear persecution in their home countries are being turned away by Border Patrol agents with no chance to make a legal case for asylum.",Non-biased
"Amid closed restaurants, quiet office buildings and canceled sporting events, the new normal has had its fair share of environmental effects, with some areas in the U.S. reporting significant improvements in air quality.",Non-biased
"The United States will expand the scope of a program that returns non-Mexican migrants crossing Mexico’s border to that country to await their U.S. court hearings, the Department of Homeland Security said on Thursday.",Non-biased
"Procter and Gamble, a major sponsor of the US Women’s National Soccer team, has backed the players in their fight for equal pay, with a public donation of $529,000.",Non-biased
"Opposition to immunizations was once largely limited to online bullying, but now opponents are increasingly taking their harassment tactics into the real world: aggressively following legislators and doctors and, in some cases, using physical violence.",Non-biased
The positive test for a banned substance comes as a major embarrassment to Australian swimming given the headline-grabbing podium protest that 400 freestyle silver medalist Mack Horton made on Sunday over Sun Yang’s participation at the worlds.,Non-biased
"But Sanders’ growing popularity – even after expressing sympathetic views of Castro and other authoritarian regimes – underscores a problem for Florida Democrats, especially in South Florida, which has a large number of Cubans, Venezuelans and Nicaraguans whose families suffered under dictators.",Non-biased
"The conservative Heartland Institute released a report on Tuesday in which it criticized leading politicians, activists, and media outlets for using the coronavirus to push their environmental agenda.",Non-biased
"Michael Mann, arguably the world’s no. 1 climate alarmist, does not explain how it was possible for him to witness climate change “first hand,” which would be difficult to do, since by definition climate change — unlike weather — takes place over long periods of time.",Non-biased
"Republicans argued that children need a parent's permission to go on a school field trip and can't go to an R-rated movie without a parent or guardian, so it makes no sense to make a life-altering decision about abortion on their own.",Non-biased
Democrats also said some girls might risk being thrown out of their homes or beaten if they tell their parents they're pregnant.,Non-biased
The ballooning cost of college and massive student loan debt is recognized as reaching crisis levels by politicians on both sides of the aisle.,Non-biased
"Bernie Sanders, meanwhile, sees early voting as a way to boost turnout among core constituencies like young, minority and working-class voters. Early voting opens new opportunities for people with strict work schedules or other barriers to voting to find time to cast ballots beyond the typical Election Day, spokeswoman Sarah Ford said.",Non-biased
"In addition to the U.S. making its own vaccines, Hatfill said there must be drastic changes to the National Pandemic Plan.",Non-biased
"People who choose not to vaccinate has emerged into a global health threat in 2019, said the World Health Organization.",Non-biased
"And now, some children from anti-vaccination families are seeking help as they confront fears that they will become infected.",Non-biased
"Amazon threatened to fire workers for speaking out to the press against the company’s role in climate change, according to the grassroots Amazon employee organization Amazon Employees For Climate Justice (AECJ)‏.",Non-biased
"Most hobbyist rock climbers lack the basic rescue skills needed to save themselves in dangerous situations, a study suggests.",Non-biased
"Democrats and Republicans have long conflated “policing” with “public safety,” in part because large shares of voters have, too. But local and national polling had shown that the public’s views of policing and criminal justice had begun to shift even before the protests, thanks to the work of Black Lives Matter and organizers and activists.",Non-biased
Democratic presidential candidate Beto O’Rourke on Monday unveiled an ambitious plan to combat climate change that spurs $5 trillion for the cause and aims to achieve net-zero emissions by 2050.,Non-biased
"The race to produce a coronavirus vaccine is a matter of overwhelming international significance, not just to bring the worldwide pandemic to an end, but also for countries to show that they are at the cutting edge of scientific research.",Non-biased
"Ocasio-Cortez, sworn in as Congress’ youngest member on Thursday, is one of a number of Democrats who backs the Green New Deal -- which aims to combat both climate change and income inequality with a massive and costly economic overhaul.",Non-biased
"Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement, saying that aid groups working with refugees should instead prioritize other Texans in need, including the state’s homeless population.",Non-biased
"Despite repeated setbacks, Smart made history as the first American to reach No. 1 in the world in saber fencing and later was on the silver-medal winning U.S. team in the 2008 Olympics.",Non-biased
"White House Press Secretary Kayleigh McEnany voiced tepid support for Defense Secretary Mark Esper, after he stated Wednesday that he did not support invoking the Insurrection Act, which would allow active-duty troops to act in domestic law enforcement roles.",Non-biased
"Specifically, Republicans–as they have demonstrated for three consecutive legislative days–intend to push for a floor vote against Democrat Speaker Nancy Pelosi’s wishes on a piece of legislation from Rep. Ann Wagner (R-MO) that would ensure babies who are born alive following an abortion attempt are given the same medical treatment and care any other newborn baby would receive.",Non-biased
The National Women’s Hockey League is moving swiftly to expand to Toronto and Montreal after the demise of its Canadian-based rival.,Non-biased
Breitbart News reported last week on a viral video in which a father confronted presidential candidate Elizabeth Warren over her proposal to erase student loan debt.,Non-biased
"Yet MLB, with an exhaustive 100+ page health and safety operations manual, will attempt to become the first major sport to return on July 23 with two nationally televised games, and the rest of the teams scheduled to start July 24.\",Non-biased
NBA players once again will be sharing personal stories this weekend during All-Star festivities — and using basketball shoes as a platform to get their message out.,Non-biased
"Dalelio, an anti-vaccine demostrator, was reportedly protesting a new state law that would stifle fraudulent medical exemptions for vaccinations.",Non-biased
A Republican group opposed to President Donald Trump is urging voters to end his “American carnage” by voting him out of office in November. And it’s using one of Trump’s favorite TV shows to spread the message.,Non-biased
"Throughout her year-long presidential campaign, Warren has emphasized affordable college tuition as a way to reduce economic and racial inequality. In April, she rolled out a comprehensive plan to cancel $50,000 in student loan debt for borrowers with annual household incomes below $100,000, with some cancellation for those with household incomes between $100,000 and $250,000.",Non-biased
"Biden’s plan also includes major investments in historically black colleges and universities, tribal colleges and universities, and other minority-serving institutions, including $18 billion in grants and $20 billion for infrastructure. ",Non-biased
President Donald Trump said on Tuesday that the Republican convention due to be held in North Carolina in August will have to be held in another state because of social distancing restrictions ordered by the state’s Democratic governor.,Non-biased
"Utah barred abortion after 18 weeks last year, becoming one of several states to adopt strict bans. ",Non-biased
"Some of the local governments choosing to accept refugees voted heavily in favor of Trump in 2016, after an election campaign in which he vowed to clamp down on immigration and the flow of refugees — particularly Muslim refugees.",Non-biased
"An Austrian BASE jumper was rescued in southern Thailand on Monday after his parachute became snagged on the rocky side of a near-vertical cliff, leaving the thrill-seeker dangling almost 600 feet above the ground for several hours.",Non-biased
U.S. immigration officials on Monday deported an Iranian student headed to a Boston university despite efforts by the American Civil Liberties Union and other advocates to block the removal.,Non-biased
"After the airstrike that killed Iranian Gen. Qasem Soleimani, there were reports that U.S. Customs and Border Patrol detained dozens of people at the Blaine, Washington, port of entry over the weekend.",Non-biased
"Unfortunately, as the number of recommended childhood vaccines has nearly tripled, the likelihood of on-time and successful completion of vaccination series is reduced.",Non-biased
"Last week, another major advancement for women in professional sports occurred when Alyssa Nakken joined the San Francisco Giants as an assistant coach, becoming the first woman to be a part of a Major League Baseball coaching staff.",Non-biased
"According to the Guardian, a survey of 15 British female Olympians found that most feel that allowing transgenders to compete alongside natural-born female athletes is likely unfair to the women and they want more research before new rules are made.",Non-biased
"Meanwhile, Thunberg first made headlines when her Fridays for Future campaign went global in the last few months. At a U.N. climate conference in September, she repeatedly scolded world leaders, asking, “How dare you?”",Non-biased
"Trump made the announcement on Twitter hours after Governor Roy Cooper, a Democrat, rejected Republican demands for a full-fledged presidential nominating convention in Charlotte, telling organizers that planning for a scaled-down event was “a necessity” due to the coronavirus.",Non-biased
"After walking off following another hardcourt loss to Novak Djokovic, allowing Serbia to level the final after Roberto Bautista Agut won the opening singles for Spain, Nadal urged the men's tour and the sport's international governing body to form one major team tournament.",Non-biased
Joe Biden appeared to suffer trouble with his teleprompter on Friday and said George Floyd was to blame for his delayed jobs plan.,Non-biased
Sen. Elizabeth Warren would capitalize on the federal government's current legal authority and begin canceling existing student loan debt on her hypothetical first day in office.,Non-biased
"Democrats this week approved legislation to require background checks for essentially all sales and transfers of firearms -- but rejected GOP-led efforts to amend the legislation to alert law enforcement authorities when gun buyers, including illegals, fail those background checks.",Non-biased
"Earlier in the event, Biden vowed as president to hold energy giants liable for global warming and made a pledge to even jail executives.",Non-biased
The new year brought continued tensions along the U.S.-Mexico border as U.S. authorities fired tear gas at migrants from the Central American caravan that has gathered there.,Non-biased
Rep. Andy Barr (R-KY) said at a House Financial Services Committee hearing on Tuesday that Congress created the $1.5 trillion student loan debt crisis affecting 45 million Americans.,Non-biased
"Ohio's Down syndrome abortion ban and similar proposals around the country have triggered emotional debate over women’s rights, parental love, and the trust between doctor and patient.",Non-biased
"Biden, who served eight years as vice president under Barack Obama, the first black U.S. president, cast himself as the candidate who best understands the longstanding pain and grief in the country’s black communities.",Non-biased
"With our climate-impacted world now highly prone to fires, extreme storms and sea-level rise, nuclear energy is touted as a possible replacement for the burning of fossil fuels for energy – the leading cause of climate change.",Non-biased
"Ensuring a level playing field for athletes during their Olympic preparations may not be possible due to the coronavirus pandemic but it is a challenge World Athletics will strive to overcome, its president Sebastian Coe said.",Non-biased
"Hundreds of thousands of transgender Americans may be unable to vote in this year’s election because their name or looks do not match their identification card, research showed on Thursday, a trend that experts say could affect Democratic turnout.",Non-biased
Cerio was reportedly screaming in agony on the floor and could be seen on video clutching both her legs in pain before she was tended by medical staff and athletic trainers.,Non-biased
"A narrow plurality of Democrats favor allowing men who say they are transgender to enter women’s sports, but the change is opposed two-to-one by adults, independents, parents, and middle-class voters, says a poll by Rasmussen Reports.",Non-biased
The Border Patrol has said Hernandez was pelting U.S. agents with rocks from the Mexican side of the Rio Grande when he was shot.,Non-biased
"Two transgender sprinters, Yearwood, a senior at Cromwell High School, and Miller, a senior at Bloomfield High School, issued statements vehemently defending their right to run in girls events in response to the filing Thursday.",Non-biased
"In March, President Trump signed an executive order closing the southern border to stop the spread of the virus from undocumented immigrants who are possibly infected.",Non-biased
"WADA wants to investigate all the athletes who trained with banned coach Alberto Salazar at the Nike Oregon Project, one of which was Britain’s Farah, the 5,000m and 10,000m champion at both the London 2012 and Rio de Janeiro 2016 Games.",Non-biased
Experts warn that the extreme weather conditions that caused wildfireares in Australia are a mark of climate change.,Non-biased
"The U.S. states of Texas and Ohio have ordered abortions be postponed as non-essential procedures to free up resources to fight coronavirus, a move critics said on Tuesday was political.",Non-biased
"We’re just a few weeks away from the start of the Olympic torch relay in Greece, which begins with the flame lighting ceremony in Olympia on March 12th – but the outbreak of the novel coronavirus, which continues to spread around the world, has left many wondering whether the 2020 Tokyo Games could be at risk of a postponement or cancellation.",Non-biased
A study shows that the number of children getting routine vaccines to protect them from dangerous diseases has dramatically declined in the wake of the coronavirus.,Non-biased
"A quarter of Americans have little or no interest in taking a coronavirus vaccine, a Reuters/Ipsos poll published on Thursday found, with some voicing concern that the record pace at which vaccine candidates are being developed could compromise safety.",Non-biased
James Steckelberg of the Mayo Clinic said people 65 and over should be administered high-dose flu vaccines to stimulate their immune system. ,Non-biased
"Oxford chose ""climate emergency"" as the word of the year from a short list of words that were all related to the environment, such as climate crisis, eco-anxiety, ecocide, global heating and climate action.",Non-biased
"Big Ten Commissioner Jim Delany told The Athletic last month he was ready to start talking about a larger playoff field, and prominent Big Ten athletic directors Barry Alvarez of Wisconsin and Jim Phillips from Northwestern have voiced support for that idea.",Non-biased
"In the majority opinion, Justice Stephen Breyer wrote that neither of the provisions provided medical benefits and placed a substantial obstacle in the path of women seeking an abortion, constituting an undue burden.",Non-biased
"Bennett mounted an unsuccessful primary election challenge to Pan in 2018 and failed to qualify for the general election. In May, he launched a recall campaign against Pan, filing a petition accusing him of “high treason” for authoring legislation to restrict vaccine exemptions for school children.",Non-biased
"Strava, which tracks the sports activity trends of some 50 million people in almost 200 countries, surveyed 25,000 runners and found that half of them say they either hate it or barely tolerate it, while only 8% love it.",Non-biased
"Marshae Jones, 27, was arrested and indicted on the count of manslaughter for failing to remove herself from harm's way in a shooting last year that caused the death of her unborn child.",Non-biased
"Asked by Breitbart News about his plan to wipe out student loan debts and what he would say to students who paid for college or decided not to go, Sanders did not address the specific question but said Wall Street would pay for free tuition at public colleges and universities.",Non-biased
A Guatemalan mom who says she sustained severe chemical burns and was sexually assaulted in front of her young daughter during a kidnapping in Mexico is asking the U.S. government to let her into the country while her asylum case plays out.,Non-biased
"In February, Breitbart News’s John Binder reported that Trump’s travel ban halted almost all legal immigration from countries designated as sponsors of terrorism.",Non-biased
"The Republican president proceeded to pitch an aggressively anti-immigrant message ahead of Election Day 2018, when voters handed Democrats control of the House.",Non-biased
There is no evidence to support the allegation Pelosi was trying to include abortion funding in the coronavirus emergency bill as the Facebook post claims.,Non-biased
"Last Sunday’s Tokyo Marathon, usually one of the largest in the world, went ahead with just 200 elite athletes and a request from organizers for spectators to stay home.",Non-biased
Now researchers have offered an explanation: A study published Tuesday in the open peer-reviewed journal Proceedings of the Royal Society B finds that the microorganisms in the wax worm's gut help them consume and metabolize plastics.,Non-biased
"With the Olympic Games postponed until 2021 and cinemas closed across the country, whole segments of the advertising market have evaporated.",Non-biased
"More than 400 women have applied to attend a candidate training session this weekend in Washington hosted by Emily’s List, an organization that works to elect women who support abortion rights, said spokeswoman Tonya Williams.",Non-biased
"After health officials near Portland, Oregon, declared a public health emergency over a measles outbreak that affects mostly young children, the viral infection continues to spread.",Non-biased
Brooklyn measles outbreak: How a glossy booklet spread anti-vaccine messages in Orthodox Jewish communities,Non-biased
"Pro-Life Advocates Lay 3,000 Flowers Outside SCOTUS to Remember Preborn.",Non-biased
"Doctors say over-usage of the body in competitive, year-round sports programs is to blame for a rapid rise in major injuries among youth athletes nationwide.",Non-biased
Most are fleeing endemic poverty and increasing rates of gang violence.,Non-biased
"That statement, while true, could leave some listeners with the wrong impression. Warren’s plan would cancel at least some student debt for 95 percent of debt holders, and all debt for 75 percent of borrowers (the source of Vice’s erroneous headline).",Non-biased
"The government urged unvaccinated families to hang a red cloth or flag outside homes as a signal for help, and imposed the shutdown to free up resources for its vaccine drive and keep even those fearful of vaccines home for the teams’ visits.",Non-biased
"Yes, there may still be time for the union's membership to change its thinking if the players reject the proposal, but at least one marketing expert said a ""no"" vote now could mean short- and long-term disaster.",Non-biased
"Democratic presidential candidate Joe Biden promised black community leaders in Delaware on Monday he would earn their support amid nationwide police brutality protests, saying he would create a police oversight board within his first 100 days in the White House.",Non-biased
"But decades of study have shown no link at all, and scientists are becoming increasingly impatient with the refusal to accept their findings.",Non-biased
"Days after suffering a horrifying injury during an NCAA gymnastics regional event, a senior gymnast from Auburn University revealed Monday she is retiring from the sport.",Non-biased
Soccer players who defy Olympic rules by making protest gestures at the 2020 Tokyo Games will be supported by their global union.,Non-biased
"In Australia, record high temperatures and drought exacerbated by the climate crisis have ignited blazes that have killed more than two dozen people and destroyed 2,000 homes since September.",Non-biased
"As the senators’ letter pointed out this week, government watchdogs have repeatedly called out the PHEAA’s mismanagement of the program over the years.",Non-biased
"For decades, opponents of reproductive rights have faced a judicial arithmetic they could not overcome: there simply weren't five justices willing to overturn Roe.",Non-biased
"Microsoft has announced an ambitious effort to make voting secure, verifiable and subject to reliable audits by registering ballots in encrypted form so they can be accurately and independently tracked long after they are cast.",Non-biased
"The No. 1 vaccine refusal hotspot is in New York, a new report from the Blue Cross Blue Shield Association finds.",Non-biased
"Amid a measles outbreak that has sickened more than 50 people in the Pacific Northwest, Washington lawmakers heard testimony Friday on a bill that would remove parents’ ability to claim a personal or philosophical exemption to opt their school-age children out of the combined measles, mumps and rubella vaccine.",Non-biased
"Since then, CTE has expanded from football to raise red flags around a myriad of other sports including soccer, rugby, horse racing, bull-riding, skiing/snowboarding, hockey, and wrestling.",Non-biased
"CTE is a degenerative brain disease that has been found in former players of North American football , soccer, hockey, rugby union and others exposed to repeated head injury.",Non-biased
Rep. Ilhan Omar (D-MN) on Tuesday proposed legislation that would extend cash benefits from the latest emergency coronavirus relief measure to members of “mixed status” families and stressed that the next stage of relief must extend cash payments to non-citizens.,Non-biased
Olympic swimming champion Cameron van der Burgh said he has been battling the coronavirus for the last two weeks.,Non-biased
"After a two month shutdown, professional sports slowly began to re-emerge from under the COVID-19 cloud during the weekend as several events returned to television — all without fans in attendance.",Non-biased
"Mason Lowe — described as a beloved professional bull rider and a star in the sport — was competing in an event in Colorado on Tuesday night when he was knocked off a bull who then stomped on his chest, killing him, officials and witnesses said.",Non-biased
"Climate change contributed to drastic declines in the population and diversity of bumblebees across North America and Europe, according to a long-term study of more than 60 bee species published Thursday in the journal Science.",Non-biased
"The Trump administration and Republicans in Congress have stepped up their efforts to hold China accountable for intellectual property theft, unfair trade practices, and aggression towards U.S. allies in East Asia, as it seeks to replace the U.S. as the world’s superpower by 2049.",Non-biased
"Since 2016, climate scientists have been revising their estimates of the pace and severity of climate change, and the problem today looks more severe than their worst-case scenarios from three years ago.",Non-biased
"The community leaders at Wilmington’s Bethel AME Church urged Biden to pick a black vice presidential running mate, and said the protests were a reflection of frustration about the lack of attention and resources for African-American communities.",Non-biased
Rep. Alexandria Ocasio-Cortez (D-NY) on Tuesday blasted President Donald Trump’s border wall as a “monument to hate” and a “monument to himself.”,Non-biased
The organization named Leung as its new president and chief executive officer on Tuesday as it fights to retain its status as the national governing body for the sport after the Larry Nassar sexual abuse scandal.,Non-biased
"After days of mounting pressure, the top soccer clubs in Britain said Friday they would ask their players to take a 30 percent pay cut as the sport grapples with the damaging fallout from the coronavirus crisis.",Non-biased
"The Trump administration has repeatedly said there is an ongoing “crisis” at the southern border and sought to deter migrants, many of whom were Central American families, from making the journey.",Non-biased
Pence was the source of inspiration to pro-life activists for a second time Friday as he had addressed the March for Life rally earlier in the day when he made a surprise visit to speak to thousands of pro-life marchers participating in the annual event.,Non-biased
"More than 1 in 4 black households report they sometimes miss or are late on their debt payments, compared with approximately 1 in 7 white households. ",Non-biased
"It's all very well to tell city residents not to line their trash cans with plastic bags, but washing out a kitchen receptacle every couple of days after use because it doesn't have a plastic liner will takes its toll on water supplies.",Non-biased
"Due to the pandemic, polio and measles vaccination campaigns have been heavily impacted, with the former having been halted in 27 countries.",Non-biased
"Meanwhile, lawmakers in several states ― including Louisiana ― are actively attempting to block abortions at six weeks of pregnancy, making the added wait time that comes with an admitting privileges law even more damaging to reproductive rights.",Non-biased
Democratic lawmakers and environmental groups say the changes will exempt polluters from public scrutiny of their projects.,Non-biased
But Omar used Ivanka’s pro-family posts as a way to make a political point about her father’s policies regarding the families separation at U.S.-Mexico border.,Non-biased
